EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
002120849,ANCILLA DOMINI SISTERS INC,,LOCAL,DONALDSON,IN,46513-0000,0928,03,9,1270,194603,1,10,150120000,5,01,,0,0,06,0,12,,,,,
010060379,HEALING AND DELIVERANCE MINISTRY INC,,14103 BYRNE PARK DR,CLARKSBURG,MD,20871-6337,0000,03,3,7000,201407,1,10,000000000,5,01,,0,0,06,0,12,,,,X20,
010123106,MORNING STAR BAPTIST CHURCH,,3204 BROTHERS PL SE,WASHINGTON,DC,20032-1501,1961,03,9,7000,196811,1,10,029000000,5,01,,0,0,06,0,12,,,,,
010158948,SIGMA KAPPA SORORITY,% NATIONAL HEADQUARTERS,695 PRO MED LN STE 300,CARMEL,IN,46032-5331,0594,07,6,1000,194301,2,00,036000000,1,01,202505,8,8,01,0,05,14861754,10076067,5955210,,
010226382,MAINE OSTEOPATHIC ASSOCIATION,% ELIZABETH SCHUMACHER,PO BOX 1488,WARRENVILLE,IL,60555-7488,0000,06,1,2000,194505,2,00,205279000,1,01,202512,4,4,01,0,12,261726,310547,310547,,
010262891,SMALL POINT SUMMER SCHOOL INC,% ELIJAH MARENTETTE,2810 BRANDYWINE ST NW,WASHINGTON,DC,20008-2136,0000,03,3,2000,196001,1,11,030000000,1,01,202512,6,4,01,0,12,1028134,186420,186420,,
010274998,MOUNT ST JOSEPH,,PO BOX 530009,LIVONIA,MI,48153-0009,0928,03,9,1700,194603,1,12,150120000,5,01,202506,7,0,02,0,06,6667644,0,-3499,E910,
010284545,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS-MAINE,% MAX LYNDS,600 STATE ST STE A,CEDAR FALLS,IA,50613-3371,0000,06,3,1000,197607,2,00,205202000,1,01,202512,0,0,02,0,12,0,0,0,,
010319131,SIGMA DELTA PI,% MARK P DEL MASTRO,3 BAINBRIDGE DR,CHARLESTON,SC,29407-4213,0000,03,3,1000,199906,1,16,059000000,1,01,202508,6,4,01,0,08,1619338,161810,158914,O20,
010365191,ASSOCIATION OF SMALL BUSINESS DEVELOPMENT CENTERS,% DONALD WILSON,332 WEST LEE HIGHWAY STE 310,WARRENTON,VA,20186-2428,0000,06,3,2000,197910,2,00,200000000,5,01,202412,8,8,01,0,12,13059085,13705087,13705087,,
010372129,NORTH AMERICAN LAKE MANAGEMENT SOCIETY,,PO BOX 5443,MADISON,WI,53705-0443,0000,03,3,2000,199006,1,16,351000000,1,01,202412,5,5,01,0,12,888508,675527,675527,C033,
010407839,MODERN WOODMEN OF AMERICA,% SCOTT M MCDONALD,1701 1ST AVE,ROCK ISLAND,IL,61201-8724,1519,08,9,1000,196105,1,00,211902602,5,01,202512,0,0,02,0,12,0,0,0,,10083
010407941,MODERN WOODMEN OF AMERICA,% DEBORAH JOAN WAGEMANN,1701 1ST AVE,ROCK ISLAND,IL,61201-8724,1519,08,9,1000,196105,0,00,000000000,1,01,202512,0,0,02,0,12,0,0,0,,8794
