beneficiary_id,district,programme_code,cause,cohort_band,is_synthetic,batch_id
BEN-022035,El Obeid,AID-2026-DR-114,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-005443,El Obeid,AID-2026-SH-455,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-016537,El Obeid,AID-2026-FS-207,civil rights,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-022649,El Obeid,AID-2026-HL-330,food and agriculture,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006884,El Obeid,AID-2026-HL-330,housing,group,TRUE,SYNTH_ADVERSARY_V1
BEN-001807,El Obeid,AID-2026-ED-512,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-007386,El Obeid,AID-2026-FS-207,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-023992,El Obeid,AID-2026-ED-512,environment,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-011977,El Obeid,AID-2026-FS-207,housing,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-002972,El Obeid,AID-2026-ED-512,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006720,El Obeid,AID-2026-FS-207,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-021345,El Obeid,AID-2026-HL-330,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-002667,El Obeid,AID-2026-WS-618,education,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-020051,El Obeid,AID-2026-FS-207,food and agriculture,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-010495,Chitrakoot,AID-2026-HL-330,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-007811,Chitrakoot,AID-2026-SH-455,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-013751,Chitrakoot,AID-2026-FS-207,food and agriculture,group,TRUE,SYNTH_ADVERSARY_V1
BEN-007089,Chitrakoot,AID-2026-SH-455,human services,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-013126,Chitrakoot,AID-2026-HL-330,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006860,Chitrakoot,AID-2026-HL-330,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-016547,Chitrakoot,AID-2026-WS-618,international development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-016299,Chitrakoot,AID-2026-DR-114,housing,group,TRUE,SYNTH_ADVERSARY_V1
BEN-024761,Chitrakoot,AID-2026-WS-618,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-007396,Chitrakoot,AID-2026-DR-114,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-016358,Chitrakoot,AID-2026-DR-114,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-020145,Chitrakoot,AID-2026-ED-512,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-009172,Chitrakoot,AID-2026-WS-618,food and agriculture,group,TRUE,SYNTH_ADVERSARY_V1
BEN-021295,El Obeid,AID-2026-ED-512,youth development,group,TRUE,SYNTH_ADVERSARY_V1
BEN-017587,El Obeid,AID-2026-WS-618,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-009200,El Obeid,AID-2026-FS-207,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-019176,El Obeid,AID-2026-DR-114,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-004744,El Obeid,AID-2026-WS-618,disaster relief,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-001141,El Obeid,AID-2026-HL-330,civil rights,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-014693,El Obeid,AID-2026-HL-330,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-013274,El Obeid,AID-2026-ED-512,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-020962,El Obeid,AID-2026-WS-618,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-000394,El Obeid,AID-2026-HL-330,environment,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-019961,El Obeid,AID-2026-WS-618,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-023595,El Obeid,AID-2026-SH-455,international development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-025763,El Obeid,AID-2026-SH-455,disaster relief,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-024804,Maradi,AID-2026-WS-618,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-001696,Maradi,AID-2026-FS-207,food and agriculture,household,TRUE,SYNTH_ADVERSARY_V1
BEN-020486,Maradi,AID-2026-DR-114,housing,group,TRUE,SYNTH_ADVERSARY_V1
BEN-020093,Maradi,AID-2026-WS-618,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-017633,Maradi,AID-2026-DR-114,food and agriculture,household,TRUE,SYNTH_ADVERSARY_V1
BEN-014382,Maradi,AID-2026-ED-512,environment,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-016802,Maradi,AID-2026-SH-455,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-007208,Cox's Bazar,AID-2026-HL-330,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-017393,Cox's Bazar,AID-2026-WS-618,housing,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-019736,Cox's Bazar,AID-2026-ED-512,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-019527,Cox's Bazar,AID-2026-WS-618,civil rights,group,TRUE,SYNTH_ADVERSARY_V1
BEN-008403,Cox's Bazar,AID-2026-SH-455,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-003802,Cox's Bazar,AID-2026-FS-207,civil rights,group,TRUE,SYNTH_ADVERSARY_V1
BEN-006367,Cox's Bazar,AID-2026-ED-512,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-004272,Khan Yunis,AID-2026-HL-330,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-025099,Khan Yunis,AID-2026-SH-455,food and agriculture,household,TRUE,SYNTH_ADVERSARY_V1
BEN-011770,Khan Yunis,AID-2026-HL-330,housing,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-020151,Khan Yunis,AID-2026-SH-455,food and agriculture,group,TRUE,SYNTH_ADVERSARY_V1
BEN-024316,Khan Yunis,AID-2026-ED-512,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-012212,Khan Yunis,AID-2026-HL-330,environment,household,TRUE,SYNTH_ADVERSARY_V1
BEN-018905,Khan Yunis,AID-2026-WS-618,housing,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-011400,El Obeid,AID-2026-DR-114,youth development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-001505,El Obeid,AID-2026-SH-455,environment,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-006293,El Obeid,AID-2026-SH-455,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-010597,El Obeid,AID-2026-SH-455,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-013586,El Obeid,AID-2026-WS-618,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-015309,El Obeid,AID-2026-FS-207,international development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-009741,El Obeid,AID-2026-DR-114,food and agriculture,group,TRUE,SYNTH_ADVERSARY_V1
BEN-019900,Rafah,AID-2026-HL-330,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-019576,Rafah,AID-2026-DR-114,youth development,group,TRUE,SYNTH_ADVERSARY_V1
BEN-022733,Rafah,AID-2026-SH-455,human services,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-016735,Rafah,AID-2026-DR-114,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-007799,Rafah,AID-2026-SH-455,international development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-019035,Rafah,AID-2026-SH-455,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-023282,Rafah,AID-2026-FS-207,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-011884,Rafah,AID-2026-FS-207,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-009848,Rafah,AID-2026-WS-618,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-014893,Rafah,AID-2026-FS-207,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-008983,Rafah,AID-2026-SH-455,international development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-024501,Balrampur,AID-2026-DR-114,international development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-001530,Balrampur,AID-2026-DR-114,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-007641,Balrampur,AID-2026-ED-512,housing,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-019600,Balrampur,AID-2026-FS-207,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-024971,Balrampur,AID-2026-ED-512,medical,group,TRUE,SYNTH_ADVERSARY_V1
BEN-008325,Balrampur,AID-2026-ED-512,youth development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-019905,Balrampur,AID-2026-DR-114,youth development,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-025366,Balrampur,AID-2026-FS-207,housing,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-013649,Maradi,AID-2026-ED-512,disaster relief,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006664,Maradi,AID-2026-SH-455,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-023742,Maradi,AID-2026-WS-618,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-008508,Maradi,AID-2026-HL-330,housing,household,TRUE,SYNTH_ADVERSARY_V1
BEN-014473,Maradi,AID-2026-ED-512,medical,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-024080,Maradi,AID-2026-ED-512,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-011675,Maradi,AID-2026-SH-455,education,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-017964,Maradi,AID-2026-DR-114,education,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-001122,Maradi,AID-2026-WS-618,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-000533,Maradi,AID-2026-HL-330,civil rights,household,TRUE,SYNTH_ADVERSARY_V1
BEN-017277,Maradi,AID-2026-DR-114,human services,household,TRUE,SYNTH_ADVERSARY_V1
BEN-013110,Maradi,AID-2026-DR-114,education,household,TRUE,SYNTH_ADVERSARY_V1
BEN-006746,Maradi,AID-2026-SH-455,medical,household,TRUE,SYNTH_ADVERSARY_V1
BEN-011469,Maradi,AID-2026-DR-114,disaster relief,individual,TRUE,SYNTH_ADVERSARY_V1
BEN-014355,Maradi,AID-2026-ED-512,youth development,household,TRUE,SYNTH_ADVERSARY_V1
BEN-005741,Maradi,AID-2026-DR-114,disaster relief,individual,TRUE,SYNTH_ADVERSARY_V1
