disbursement_id,org_id,programme_code,beneficiary_id,amount_usd,pledged_usd,district,lat,lon,delivery_h3,dispatched_at,delivered_at,status,is_synthetic,batch_id
DSB-0000000,ORG_161533232,AID-2026-DR-114,BEN-022035,5661.67,6385.9,El Obeid,13.4135922804767,30.228056465799693,876b404a6ffffff,2026-05-14 06:00:00,2026-05-17 06:12:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000001,ORG_161533232,AID-2026-SH-455,BEN-005443,4028.66,4295.26,El Obeid,12.984109902767852,29.99594721965788,876b4212affffff,2026-06-15 01:00:00,2026-06-17 20:42:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000002,ORG_161533232,AID-2026-FS-207,BEN-016537,8021.83,8531.85,El Obeid,12.637457119169651,30.339539096010217,876b4238bffffff,2026-07-05 20:00:00,2026-07-08 11:42:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000003,ORG_161533232,AID-2026-HL-330,BEN-022649,4912.04,5302.78,El Obeid,13.127862625260608,30.300427058588497,876b42ba9ffffff,2026-08-03 10:00:00,2026-08-06 08:30:00,DISPATCHED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000004,ORG_161533232,AID-2026-HL-330,BEN-006884,0.0,3984.68,El Obeid,13.111288319728747,30.39374254673239,876b42a23ffffff,2026-07-17 12:00:00,,PLEDGED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000005,ORG_161533232,AID-2026-ED-512,BEN-001807,3605.37,3790.56,El Obeid,12.948128443025599,29.764051646398226,876b42c51ffffff,2026-06-11 15:00:00,2026-06-12 18:48:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000006,ORG_161533232,AID-2026-FS-207,BEN-007386,1980.18,2231.81,El Obeid,13.725491845437134,30.02818239498231,876b4635effffff,2026-06-12 23:00:00,,UNACCOUNTED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000007,ORG_161533232,AID-2026-ED-512,BEN-023992,922.69,966.27,El Obeid,17.23971685337484,30.326294052600286,876b60905ffffff,2026-06-13 04:00:00,2026-06-13 04:35:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000008,ORG_161533232,AID-2026-FS-207,BEN-011977,3738.44,3867.81,El Obeid,13.485641738787987,30.093171101004906,876b462c9ffffff,2026-05-19 10:00:00,2026-05-22 10:12:00,DISPATCHED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000009,ORG_161533232,AID-2026-ED-512,BEN-002972,6321.71,6437.21,El Obeid,12.852488628514246,30.201655267922956,876b42063ffffff,2026-07-23 16:00:00,2026-07-24 05:24:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000010,ORG_161533232,AID-2026-FS-207,BEN-006720,2408.34,2449.97,El Obeid,13.313959525691875,30.109102689326487,876b42959ffffff,2026-05-22 09:00:00,2026-05-24 23:42:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000011,ORG_161533232,AID-2026-HL-330,BEN-021345,0.0,7134.25,El Obeid,13.069680092187813,30.781762847550805,876b43d2bffffff,2026-05-20 09:00:00,,PLEDGED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000012,ORG_161533232,AID-2026-WS-618,BEN-002667,5698.07,5729.65,El Obeid,12.87797846991871,30.31783174032326,876b42a99ffffff,2026-05-21 01:00:00,2026-05-24 21:42:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000013,ORG_161533232,AID-2026-FS-207,BEN-020051,6040.28,6212.94,El Obeid,13.291946498094871,30.032256002999134,876b4282cffffff,2026-06-14 15:00:00,2026-06-16 05:30:00,DISPATCHED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000014,ORG_250965404,AID-2026-HL-330,BEN-010495,0.0,8305.43,Chitrakoot,25.195997153352057,80.876744565052,873d8abb3ffffff,2026-06-19 09:00:00,,PLEDGED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000015,ORG_250965404,AID-2026-SH-455,BEN-007811,2988.72,3387.64,Chitrakoot,25.655073749830482,81.08214616073205,873d8844affffff,2026-06-09 22:00:00,2026-06-12 01:12:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000016,ORG_250965404,AID-2026-FS-207,BEN-013751,6449.15,6518.16,Chitrakoot,25.550621842057502,80.69295609030634,873d88586ffffff,2026-07-06 08:00:00,,UNACCOUNTED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000017,ORG_250965404,AID-2026-SH-455,BEN-007089,2197.73,2264.64,Chitrakoot,25.292831219090747,80.9629035644282,873d8abadffffff,2026-05-23 04:00:00,2026-05-25 08:24:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000018,ORG_250965404,AID-2026-HL-330,BEN-013126,5212.51,5723.34,Chitrakoot,24.915371689978052,81.19245272199045,873d8a3abffffff,2026-08-06 04:00:00,2026-08-09 03:42:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000019,ORG_250965404,AID-2026-HL-330,BEN-006860,1834.93,1879.6,Chitrakoot,25.037759934440146,81.13719312705197,873d8a304ffffff,2026-06-13 16:00:00,2026-06-15 01:48:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000020,ORG_250965404,AID-2026-WS-618,BEN-016547,0.0,6928.62,Chitrakoot,25.3685686764313,81.05098033406678,873d8ab56ffffff,2026-08-24 23:00:00,,PLEDGED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000021,ORG_250965404,AID-2026-DR-114,BEN-016299,1346.24,1457.05,Chitrakoot,25.10974453520206,81.19370289371268,873d8aad3ffffff,2026-07-24 00:00:00,2026-07-26 06:00:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000022,ORG_250965404,AID-2026-WS-618,BEN-024761,2516.25,2649.19,Chitrakoot,25.193932525733356,81.03996304889182,873d8aa12ffffff,2026-07-03 06:00:00,2026-07-05 15:42:00,DISPATCHED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000023,ORG_250965404,AID-2026-DR-114,BEN-007396,7019.53,7280.75,Chitrakoot,25.338564979458386,81.062366555386,873d8aa25ffffff,2026-05-22 19:00:00,2026-05-26 05:00:00,DISPATCHED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000024,ORG_250965404,AID-2026-DR-114,BEN-016358,6397.43,6835.89,Chitrakoot,25.195445107632796,81.24063988477984,873d8aaccffffff,2026-05-03 01:00:00,2026-05-06 14:24:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000025,ORG_250965404,AID-2026-ED-512,BEN-020145,7410.19,8337.7,Chitrakoot,25.34328553297189,80.90618935753965,873d8ab33ffffff,2026-08-02 00:00:00,2026-08-03 05:36:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000026,ORG_250965404,AID-2026-WS-618,BEN-009172,0.0,3878.21,Chitrakoot,25.301917661491228,80.71905865448295,873d8a876ffffff,2026-07-26 18:00:00,,PLEDGED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000027,ORG_132926426,AID-2026-ED-512,BEN-021295,8525.37,9214.93,El Obeid,13.066319201044166,30.296916124000287,876b42b89ffffff,2026-08-12 10:00:00,2026-08-14 08:24:00,DISPATCHED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000028,ORG_132926426,AID-2026-WS-618,BEN-017587,1961.1,2193.09,El Obeid,13.202977349149528,30.222522024419316,876b42849ffffff,2026-05-01 01:00:00,2026-05-02 07:12:00,DISPATCHED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000029,ORG_132926426,AID-2026-FS-207,BEN-009200,2524.35,2758.14,El Obeid,13.281397190159296,30.391604831589664,876b404deffffff,2026-07-07 06:00:00,2026-07-08 07:24:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000030,ORG_132926426,AID-2026-DR-114,BEN-019176,2549.95,2691.91,El Obeid,13.094445802282861,30.38870173715971,876b42a05ffffff,2026-07-20 10:00:00,2026-07-22 20:06:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000031,ORG_132926426,AID-2026-WS-618,BEN-004744,2635.36,2742.05,El Obeid,17.165382872735982,30.32123445167363,876b60918ffffff,2026-06-16 05:00:00,2026-06-16 05:17:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000032,ORG_132926426,AID-2026-HL-330,BEN-001141,5499.52,6088.19,El Obeid,13.029999379187819,29.98802857821906,876b42121ffffff,2026-05-14 06:00:00,2026-05-16 08:24:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000033,ORG_132926426,AID-2026-HL-330,BEN-014693,2405.08,2407.64,El Obeid,12.988144634859815,30.19269046904007,876b42169ffffff,2026-06-10 07:00:00,2026-06-12 13:00:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000034,ORG_132926426,AID-2026-ED-512,BEN-013274,7435.77,7490.16,El Obeid,12.81237906190152,30.536311688057605,876b42345ffffff,2026-08-05 19:00:00,2026-08-09 10:30:00,DISPATCHED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000035,ORG_132926426,AID-2026-WS-618,BEN-020962,6196.33,6391.62,El Obeid,13.142059483683068,30.130621921748695,876b428edffffff,2026-06-20 17:00:00,2026-06-23 13:24:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000036,ORG_132926426,AID-2026-HL-330,BEN-000394,0.0,8931.58,El Obeid,13.412366040639062,30.319137264959338,876b404adffffff,2026-08-04 02:00:00,,PLEDGED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000037,ORG_132926426,AID-2026-WS-618,BEN-019961,651.34,659.69,El Obeid,13.298034609667924,30.0447564573191,876b4282dffffff,2026-07-01 03:00:00,2026-07-03 20:06:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000038,ORG_132926426,AID-2026-SH-455,BEN-023595,9088.02,9313.01,El Obeid,13.270515802574618,30.254505802832412,876b4049bffffff,2026-08-10 17:00:00,2026-08-11 02:36:00,DISPATCHED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000039,ORG_132926426,AID-2026-SH-455,BEN-025763,1018.75,1049.01,El Obeid,13.476965548051398,30.321640369743545,876b40406ffffff,2026-06-28 04:00:00,2026-06-28 12:30:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000040,ORG_201935580,AID-2026-WS-618,BEN-024804,8317.14,8878.2,Maradi,13.21776458608884,7.160302110815714,875803040ffffff,2026-06-12 11:00:00,2026-06-15 05:48:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000041,ORG_201935580,AID-2026-FS-207,BEN-001696,421.94,430.81,Maradi,13.16696446247459,7.221718030180961,8758033a4ffffff,2026-06-12 10:00:00,2026-06-12 17:30:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000042,ORG_201935580,AID-2026-DR-114,BEN-020486,2555.51,2606.93,Maradi,13.310485607949238,7.293509875311764,875803324ffffff,2026-08-18 00:00:00,2026-08-20 03:48:00,DELIVERED,TRUE,SYNTH_ADVERSARY_V1
DSB-0000043,ORG_201935580,AID-2026-WS-618,BEN-020093,0.0,8971.03,Maradi,13.370827508792482,6.965343542602009,87580312bffffff,2026-05-14 03:00:00,,PLEDGED,TRUE,SYNTH_ADVERSARY_V1
