district,country,region,centroid_lat,centroid_lon,district_h3
Balrampur,IN,IN,27.44564264402799,82.1964197296908,873c32115ffffff
Barabanki,IN,IN,26.91452917261587,81.18877646202702,873d8d8ccffffff
Chitrakoot,IN,IN,25.23885332077819,80.91333950296728,873d8abb3ffffff
Cox's Bazar,BD,BD,21.391433885138564,92.00820209534663,873cd1a90ffffff
Deir al-Balah,PS,PS,31.431814246351774,34.36461379346475,872db60daffffff
Diffa,NE,NE,13.324193130433876,12.593535609714294,875855726ffffff
El Obeid,SD,SD,13.181035339007655,30.221820724150383,876b404a6ffffff
Gaza North,PS,PS,31.570734729035788,34.497291715601584,872db6209ffffff
Kassala,SD,SD,15.445055234314516,36.40659118458729,8752b5022ffffff
Khan Yunis,PS,PS,31.35622155562119,34.30516997898429,872db662bffffff
Kutupalong,BD,BD,21.20188142371364,92.1543690984685,873cdc511ffffff
Maradi,NE,NE,13.478894919370997,7.107455717755023,875803040ffffff
Nyala,SD,SD,12.065241468266859,24.879233365273887,876b0a430ffffff
Rafah,PS,PS,31.313154126206314,34.24328397337827,872db67a4ffffff
Sitapur,IN,IN,27.58997261326793,80.68760790212411,873dab056ffffff
Wad Madani,SD,SD,14.418308570636354,33.52345937046961,876b6b71bffffff
