org_id,ein,name,blurb,city,state,ntee_code,cause,lat,lon,home_h3,region_h3,base_h3,max_hops,is_verified,is_synthetic,batch_id,synth_technique,synth_target_id
ORG_133783732,133783732,Healthfirst Phsp Inc,"medical organisation serving New York, NY",New York,NY,E310,medical,40.713868,-74.007866,852a1073fffffff,832a10fffffffff,852a1073fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_521301088,521301088,Bon Secours Mercy Health Inc,"medical organisation serving Blue Ash, OH",Blue Ash,OH,E210,medical,39.242803,-84.352996,852a9303fffffff,832a93fffffffff,852a9303fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_362169147,362169147,Advocate Health And Hospitals Corporation,"medical organisation serving Downers Grove, IL",Downers Grove,IL,E210,medical,41.81107,-88.024525,85275927fffffff,832664fffffffff,85275927fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_150532082,150532082,Cornell University,"education organisation serving Ithaca, NY",Ithaca,NY,B430,education,42.431831,-76.500228,852aa4abfffffff,832aa4fffffffff,852aa4abfffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_363573805,363573805,Ucare Minnesota,"medical organisation serving Minneapolis, MN",Minneapolis,MN,E22Z,medical,44.997814,-93.243546,8527526bfffffff,832752fffffffff,8527526bfffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_043373331,043373331,Boston Medical Center Health Plan Inc,"medical organisation serving Charlestown, MA",Charlestown,MA,E110,medical,42.379657,-71.061487,852a3067fffffff,832a30fffffffff,852a3067fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_651301877,651301877,Atlantic Health System Inc,"unclassified organisation serving Morristown, NJ",Morristown,NJ,,unclassified,40.779235,-74.502462,852a12b7fffffff,832a10fffffffff,852a12b7fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_363152959,363152959,Northwestern Memorial Healthcare,"medical organisation serving Chicago, IL",Chicago,IL,E22,medical,41.894742,-87.615073,852664c3fffffff,832664fffffffff,852664c3fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_222405279,222405279,Rwjbh Corporate Services Inc,"medical organisation serving Oceanport, NJ",Oceanport,NJ,E112,medical,40.315996,-74.017637,852a1393fffffff,832a13fffffffff,852a1393fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_161533232,161533232,Kaleida Health,"medical organisation serving Buffalo, NY",Buffalo,NY,E220,medical,42.861134,-78.863606,852aa6cbfffffff,832aa6fffffffff,856b4297fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_236291113,236291113,Geisinger Clinic,"medical organisation serving Danville, PA",Danville,PA,E30,medical,40.968662,-76.603296,852aa18bfffffff,832aa1fffffffff,852aa18bfffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_521272129,521272129,Washington Hospital Center Corporation,"medical organisation serving Columbia, MD",Columbia,MD,E210,medical,39.205274,-76.878737,852aa853fffffff,832aa8fffffffff,852aa853fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_340714357,340714357,Childrens Hospital Medical Center Of Akron,"medical organisation serving Akron, OH",Akron,OH,E240,medical,41.081805,-81.517451,852ab3affffffff,832ab3fffffffff,852ab3affffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_381359087,381359087,Bronson Methodist Hospital,"medical organisation serving Kalamazoo, MI",Kalamazoo,MI,E220,medical,42.302591,-85.588193,85274867fffffff,832748fffffffff,85274867fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_392014409,392014409,Froedtert Thedacare Health Inc,"medical organisation serving Milwaukee, WI",Milwaukee,WI,E21,medical,43.050631,-88.043161,85275d77fffffff,83275dfffffffff,85275d77fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_131740451,131740451,Fordham University,"education organisation serving Bronx, NY",Bronx,NY,B430,education,40.862486,-73.886448,852a1003fffffff,832a10fffffffff,852a1003fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_222592333,222592333,Southcoast Hospitals Group Inc,"medical organisation serving New Bedford, MA",New Bedford,MA,E200,medical,41.638171,-70.938398,852a33a3fffffff,832a33fffffffff,852a33a3fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_310537486,310537486,The Good Samaritan Hospital Of Cincinnati Ohio Dtd 01251995,"medical organisation serving Cincinnati, OH",Cincinnati,OH,E220,medical,39.106735,-84.504181,852a930ffffffff,832a93fffffffff,852a930ffffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_111888924,111888924,Good Samaritan Hosptial Medical Center,"medical organisation serving West Islip, NY",West Islip,NY,E220,medical,40.709005,-73.296337,852a10a3fffffff,832a10fffffffff,852a10a3fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_611276316,611276316,Community Medical Associates Inc,"medical organisation serving Louisville, KY",Louisville,KY,E30,medical,38.252811,-85.751946,85266887fffffff,832668fffffffff,85266887fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_540506321,540506321,Childrens Hospital Of The Kings Daughters Inc,"medical organisation serving Norfolk, VA",Norfolk,VA,E240,medical,36.864564,-76.303218,852af623fffffff,832af6fffffffff,852af623fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_421418847,421418847,Genesis Health System,"medical organisation serving Davenport, IA",Davenport,IA,E20,medical,41.538947,-90.555977,852675dbfffffff,832675fffffffff,852675dbfffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_161576637,161576637,Mvhs Inc,"medical organisation serving Utica, NY",Utica,NY,E22,medical,43.141264,-75.154707,852b886ffffffff,832b8bfffffffff,852b886ffffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_237221763,237221763,The Unity Hospital Of Rochester,"medical organisation serving Rochester, NY",Rochester,NY,E220,medical,43.225816,-77.586572,852b9933fffffff,832b99fffffffff,852b9933fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_541124769,541124769,University Of Virginia Physicians Group,"medical organisation serving Charlottesvle, VA",Charlottesvle,VA,E112,medical,37.910276,-78.52212,852a8c03fffffff,832a8cfffffffff,852a8c03fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_370673465,370673465,The Carle Foundation,"medical organisation serving Urbana, IL",Urbana,IL,E210,medical,40.10952,-88.211031,8526606ffffffff,832663fffffffff,8526606ffffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_610458376,610458376,Pikeville Medical Center Inc,"medical organisation serving Pikeville, KY",Pikeville,KY,E220,medical,37.507592,-82.518773,852a9807fffffff,832a98fffffffff,852a9807fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_526049658,526049658,Greater Baltimore Medical Center,"medical organisation serving Towson, MD",Towson,MD,E220,medical,39.406389,-76.626072,852aa8d3fffffff,832aa8fffffffff,852aa8d3fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_743068519,743068519,Commonwealth Charter Academy Charter School,"education organisation serving Harrisburg, PA",Harrisburg,PA,B280,education,40.323487,-76.888179,852aa167fffffff,832aa1fffffffff,852aa167fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_263162145,263162145,Indiana University Health Arnett Inc,"medical organisation serving Indianapolis, IN",Indianapolis,IN,E21,medical,39.770593,-86.157054,852661a3fffffff,832661fffffffff,852661a3fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_363738206,363738206,Endeavor Health Medical Group,"medical organisation serving Arlington Hts, IL",Arlington Hts,IL,E110,medical,42.064472,-87.98669,85275933fffffff,832759fffffffff,85275933fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_131949477,131949477,New York Blood Center Inc,"medical organisation serving New York, NY",New York,NY,E610,medical,40.764689,-73.963264,852a100ffffffff,832a10fffffffff,852a100ffffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_362174832,362174832,Silver Cross Hospital & Medical Centers,"medical organisation serving New Lenox, IL",New Lenox,IL,E220,medical,41.508158,-87.960979,8526644ffffffff,832664fffffffff,8526644ffffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_412120170,412120170,Midwest Food Bank Nfp Inc,"human services organisation serving Normal, IL",Normal,IL,P99,human services,40.528032,-88.947633,8526628ffffffff,832662fffffffff,8526628ffffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_540506331,540506331,Sentara Rmh Medical Center,"medical organisation serving Rockingham, VA",Rockingham,VA,E220,medical,38.405147,-78.880723,852a8cdbfffffff,832a81fffffffff,852a8cdbfffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_020554654,020554654,Stephen Siller Tunnel To Towers Foundation,"education organisation serving Staten Island, NY",Staten Island,NY,B82,education,40.571714,-74.124264,852a1063fffffff,832a10fffffffff,852a1063fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_060646718,060646718,Middlesex Hospital,"medical organisation serving Middletown, CT",Middletown,CT,E220,medical,41.544209,-72.657501,852a14affffffff,832a14fffffffff,852a14affffffff,40,TRUE,FALSE,IRS_BMF_2026,,
ORG_351932442,351932442,Indiana University Health North Hospital Inc,"medical organisation serving Indianapolis, IN",Indianapolis,IN,E300,medical,39.770593,-86.157054,852661a3fffffff,832661fffffffff,852661a3fffffff,40,TRUE,FALSE,IRS_BMF_2026,,
