threshold,pairs_detected,pairs_ai_confirmed,is_production_value
0.7,357,257,FALSE
0.71,355,257,FALSE
0.72,344,257,FALSE
0.73,340,257,FALSE
0.74,334,257,FALSE
0.75,326,257,FALSE
0.76,322,257,FALSE
0.77,315,257,FALSE
0.78,311,257,FALSE
0.79,305,257,FALSE
0.8,301,257,FALSE
0.81,291,257,FALSE
0.82,285,257,FALSE
0.83,276,257,FALSE
0.84,273,257,FALSE
0.85,271,257,FALSE
0.86,266,257,TRUE
0.87,263,257,FALSE
0.88,257,257,FALSE
0.89,252,252,FALSE
0.9,248,248,FALSE
0.91,245,245,FALSE
0.92,237,237,FALSE
0.93,233,233,FALSE
0.94,229,229,FALSE
0.95,224,224,FALSE
0.96,219,219,FALSE
0.97,218,218,FALSE
0.98,218,218,FALSE
0.99,218,218,FALSE
1.0,155,155,FALSE
